!
!This table was created from the IDV's afp-new2023 color table
!                       red    green  blue 
!
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       255    255    255 
                       239    253    236 
                       237    253    234 
                       235    252    232 
                       233    252    229 
                       231    252    227 
                       229    251    225 
                       227    251    222 
                       225    251    220 
                       223    251    217 
                       221    250    215 
                       219    250    213 
                       217    250    210 
                       215    249    208 
                       213    249    206 
                       211    249    203 
                       209    248    201 
                       207    248    198 
                       205    248    196 
                       203    247    194 
                       201    247    191 
                       199    247    189 
                       197    247    186 
                       195    246    184 
                       193    246    182 
                       191    246    179 
                       189    245    177 
                       187    245    175 
                       185    245    172 
                       183    244    170 
                       181    244    167 
                       179    244    165 
                       177    243    163 
                       175    243    160 
                       173    243    158 
                       168    241    152 
                       166    241    150 
                       165    241    150 
                       163    240    147 
                       163    240    147 
                       162    240    146 
                       162    240    145 
                       161    240    145 
                       160    240    144 
                       160    240    143 
                       159    240    142 
                       159    240    142 
                       158    240    141 
                       157    240    140 
                       157    240    139 
                       156    240    139 
                       155    240    138 
                       155    240    137 
                       154    240    136 
                       154    240    136 
                       153    240    135 
                       152    240    134 
                       152    240    133 
                       151    240    133 
                       150    240    132 
                       150    240    131 
                       149    240    130 
                       149    240    130 
                       148    240    129 
                       147    240    128 
                       147    240    127 
                       146    240    127 
                       145    240    126 
                       145    240    125 
                       144    240    125 
                       144    240    124 
                       143    239    123 
                       142    239    122 
                       142    239    122 
                       141    239    121 
                       140    239    120 
                       140    239    119 
                       139    239    119 
                       139    239    118 
                       138    239    117 
                       137    239    116 
                       137    239    116 
                       136    239    115 
                       136    239    114 
                       135    239    113 
                       134    239    113 
                       134    239    112 
                       133    239    111 
                       132    239    110 
                       132    239    110 
                       131    239    109 
                       131    239    108 
                       130    239    107 
                       129    239    107 
                       129    239    106 
                       128    239    105 
                       127    239    105 
                       127    239    104 
                       126    239    103 
                       126    239    102 
                       125    239    102 
                       124    239    101 
                       124    239    100 
                       123    238     99 
                       122    238     99 
                       122    238     98 
                       121    238     97 
                       121    238     96 
                       120    238     96 
                       119    238     95 
                       119    238     94 
                       118    238     93 
                       117    238     93 
                       117    238     92 
                       116    238     91 
                       116    238     90 
                       115    238     90 
                       114    238     89 
                       114    238     88 
                       113    238     87 
                       113    238     87 
                       112    238     86 
                       111    238     85 
                       111    238     85 
                       110    238     84 
                       109    238     83 
                       109    238     82 
                       108    238     82 
                       108    238     81 
                       107    238     80 
                       106    238     79 
                       106    238     79 
                       105    238     78 
                       104    238     77 
                       104    238     76 
                       103    237     76 
                       103    237     75 
                       102    237     74 
                       101    237     73 
                       101    237     73 
                       100    237     72 
                        99    237     71 
                        99    237     70 
                        98    237     70 
                        98    237     69 
                        97    237     68 
                        96    237     67 
                        96    237     67 
                        95    237     66 
                        94    237     65 
                        94    237     65 
                        93    237     64 
                        93    237     63 
                        92    237     62 
                        91    237     62 
                        91    237     61 
                        90    237     60 
                        90    237     59 
                        89    237     59 
                        88    237     58 
                        88    237     57 
                        87    237     56 
                        86    237     56 
                        86    237     55 
                        85    237     54 
                        85    237     53 
                        84    237     53 
                        83    236     52 
                        83    236     51 
                        82    236     50 
                        81    236     50 
                        81    236     49 
                        80    236     48 
                        80    236     47 
                        79    236     47 
                        78    236     46 
                        78    236     45 
                        77    236     45 
                        76    236     44 
                        76    236     43 
                        75    236     42 
                        75    236     42 
                        74    236     41 
                        73    236     40 
                        73    236     39 
                        72    236     39 
                        71    236     38 
                        71    236     37 
                        70    236     36 
                        70    236     36 
                        69    236     35 
                        68    236     34 
                        68    236     33 
                        67    236     33 
                        67    236     32 
                        66    236     31 
                        65    236     30 
                        65    236     30 
