!
!This table was created from the IDV's bfpplus-bfp-colors-0-to-1 color table
!                       red    green  blue 
!
                       173    244    244 
                       171    243    244 
                       169    241    243 
                       167    240    242 
                       164    238    241 
                       162    236    240 
                       160    235    240 
                       157    233    239 
                       155    231    238 
                       153    230    237 
                       150    228    236 
                       148    226    235 
                       146    225    235 
                       143    223    234 
                       141    221    233 
                       139    220    232 
                       136    218    231 
                       134    216    230 
                       128    211    227 
                       126    209    226 
                       124    208    225 
                       123    207    224 
                       121    205    223 
                       119    204    222 
                       118    203    221 
                       116    202    220 
                       114    200    219 
                       113    199    218 
                       111    198    217 
                       109    196    216 
                       108    195    216 
                       106    194    215 
                       104    192    214 
                       103    191    213 
                       101    190    212 
                        99    188    211 
                        98    187    210 
                        96    186    209 
                        94    184    208 
                        93    183    207 
                        91    182    206 
                        89    180    205 
                        88    179    204 
                        86    178    203 
                        80    174    200 
                        76    172    199 
                        72    171    198 
                        68    169    197 
                        64    167    195 
                        60    165    194 
                        56    163    193 
                        52    161    192 
                        48    159    190 
                        48    158    190 
                        47    157    190 
                        47    157    190 
                        47    156    190 
                        47    155    190 
                        47    155    190 
                        46    154    190 
                        46    154    190 
                        46    153    190 
                        46    152    190 
                        46    152    190 
                        45    151    190 
                        45    150    191 
                        45    150    191 
                        45    149    191 
                        45    149    191 
                        45    148    191 
                        44    147    191 
                        44    147    191 
                        44    146    191 
                        44    145    191 
                        44    145    191 
                        43    144    191 
                        43    144    191 
                        43    143    191 
                        43    142    191 
                        43    142    191 
                        42    141    191 
                        42    140    191 
                        42    140    191 
                        42    139    191 
                        42    139    191 
                        41    138    191 
                        41    137    191 
                        41    137    191 
                        41    136    191 
                        41    135    191 
                        41    135    191 
                        40    134    191 
                        40    134    191 
                        40    133    191 
                        40    132    191 
                        40    132    191 
                        39    131    191 
                        39    130    191 
                        39    130    191 
                        39    129    191 
                        39    129    191 
                        38    128    191 
                        38    127    191 
                        38    127    191 
                        38    126    191 
                        38    125    191 
                        37    125    191 
                        37    124    191 
                        37    124    191 
                        37    123    191 
                        37    122    191 
                        36    122    191 
                        36    121    191 
                        36    120    192 
                        36    120    192 
                        36    119    192 
                        36    119    192 
                        35    118    192 
                        35    117    192 
                        35    117    192 
                        35    116    192 
                        35    115    192 
                        34    115    192 
                        34    114    192 
                        34    114    192 
                        34    113    192 
                        34    112    192 
                        33    112    192 
                        33    111    192 
                        33    110    192 
                        33    110    192 
                        33    109    192 
                        32    109    192 
                        32    108    192 
                        32    107    192 
                        32    107    192 
                        32    106    192 
                        32    105    192 
                        31    105    192 
                        31    104    192 
                        31    104    192 
                        31    103    192 
                        31    102    192 
                        30    102    192 
                        30    101    192 
                        30    100    192 
                        30    100    192 
                        30     99    192 
                        29     99    192 
                        29     98    192 
                        29     97    192 
                        29     97    192 
                        29     96    192 
                        28     95    192 
                        28     95    192 
                        28     94    192 
                        28     94    192 
                        28     93    192 
                        27     92    192 
                        27     92    192 
                        27     91    192 
                        27     90    193 
                        27     90    193 
                        27     89    193 
                        26     89    193 
                        26     88    193 
                        26     87    193 
                        26     87    193 
                        26     86    193 
                        25     85    193 
                        25     85    193 
                        25     84    193 
                        25     84    193 
                        25     83    193 
                        24     82    193 
                        24     82    193 
                        24     81    193 
                        24     80    193 
                        24     80    193 
                        23     79    193 
                        23     79    193 
                        23     78    193 
                        23     77    193 
                        23     77    193 
                        22     76    193 
                        22     75    193 
                        22     75    193 
                        22     74    193 
                        22     74    193 
                        22     73    193 
                        21     72    193 
                        21     72    193 
                        21     71    193 
                        21     70    193 
                        21     70    193 
                        20     69    193 
                        20     69    193 
                        20     68    193 
                        20     67    193 
                        20     67    193 
                        19     66    193 
                        19     65    193 
                        19     65    193 
                        19     64    193 
                        19     64    193 
                        18     63    193 
                        18     62    193 
                        18     62    193 
                        18     61    193 
                        18     60    194 
                        18     60    194 
                        17     59    194 
                        17     59    194 
                        17     58    194 
                        17     57    194 
                        17     57    194 
                        16     56    194 
                        16     55    194 
                        16     55    194 
                        16     54    194 
                        16     54    194 
                        15     53    194 
                        15     52    194 
                        15     52    194 
                        15     51    194 
                        15     50    194 
                        14     50    194 
                        14     49    194 
                        14     49    194 
                        14     48    194 
                        14     47    194 
                        13     47    194 
                        13     46    194 
                        13     45    194 
                        13     45    194 
                        13     44    194 
                        13     44    194 
                        12     43    194 
                        12     42    194 
                        12     42    194 
                        12     41    194 
                        12     40    194 
                        11     40    194 
                        11     39    194 
                        11     39    194 
                        11     38    194 
                        11     37    194 
                        10     37    194 
                        10     36    194 
                        10     35    194 
                        10     35    194 
                        10     34    194 
                         9     34    194 
                         9     33    194 
                         9     32    194 
                         9     32    194 
                         9     31    194 
                         8     30    195 
                         9     30    195 
                         9     30    196 
                        10     30    196 
                        10     30    196 
                        11     30    196 
                        11     30    196 
                        12     29    196 
                        13     29    196 
                        13     29    196 
                        14     29    196 
                        14     29    196 
                        15     29    196 
                        15     29    196 
                        16     29    196 
                        16     28    196 
                        17     28    196 
                        17     28    196 
                        18     28    196 
                        18     28    196 
                        19     28    197 
                        19     28    197 
                        20     28    197 
                        20     27    197 
                        21     27    197 
                        21     27    197 
                        22     27    197 
                        22     27    197 
                        23     27    197 
                        23     27    197 
                        24     27    197 
                        24     26    197 
                        25     26    197 
                        26     26    197 
                        26     26    197 
                        27     26    197 
                        27     26    197 
                        28     26    197 
                        28     26    197 
                        29     25    198 
                        29     25    198 
                        30     25    198 
                        30     25    198 
                        31     25    198 
                        31     25    198 
                        32     25    198 
                        32     25    198 
                        33     24    198 
                        33     24    198 
                        34     24    198 
                        34     24    198 
                        35     24    198 
                        35     24    198 
                        36     24    198 
                        36     24    198 
                        37     23    198 
                        38     23    198 
                        38     23    199 
                        39     23    199 
                        39     23    199 
                        40     23    199 
                        40     23    199 
                        41     23    199 
                        41     22    199 
                        42     22    199 
                        42     22    199 
                        43     22    199 
                        43     22    199 
                        44     22    199 
                        44     22    199 
                        45     22    199 
                        45     21    199 
                        46     21    199 
                        46     21    199 
                        46     21    199 
                        46     21    199 
                        47     21    199 
                        47     21    199 
                        47     21    199 
                        48     21    199 
                        48     21    199 
                        48     20    199 
                        49     20    199 
                        49     20    199 
                        49     20    199 
                        50     20    199 
                        50     20    199 
                        50     20    199 
                        51     20    199 
                        51     20    199 
                        51     19    199 
                        52     19    199 
                        52     19    199 
                        52     19    199 
                        52     19    200 
                        53     19    200 
                        53     19    200 
                        53     19    200 
                        54     19    200 
                        54     18    200 
                        54     18    200 
                        55     18    200 
                        55     18    200 
                        55     18    200 
                        56     18    200 
                        56     18    200 
                        56     18    200 
                        57     18    200 
                        57     17    200 
                        57     17    200 
                        58     17    200 
                        58     17    200 
                        58     17    200 
                        59     17    200 
                        59     17    200 
                        59     17    200 
                        59     17    201 
                        60     16    201 
                        60     16    201 
                        60     16    201 
                        61     16    201 
                        61     16    201 
                        61     16    201 
                        62     16    201 
                        62     16    201 
                        62     16    201 
                        63     15    201 
                        63     15    201 
                        63     15    201 
                        64     15    201 
                        64     15    201 
                        64     15    201 
                        65     15    201 
                        65     15    201 
                        65     15    201 
                        66     14    201 
                        66     14    201 
                        66     14    202 
                        66     14    202 
                        67     14    202 
                        67     14    202 
                        67     14    202 
                        68     14    202 
                        68     14    202 
                        68     13    202 
                        69     13    202 
                        69     13    202 
                        69     13    202 
                        70     13    202 
                        70     13    202 
                        70     13    202 
                        71     13    202 
                        71     12    202 
                        71     12    202 
                        72     12    202 
                        72     12    202 
                        72     12    202 
                        73     12    202 
                        73     12    202 
                        73     12    203 
                        73     12    203 
                        74     11    203 
                        74     11    203 
                        74     11    203 
                        75     11    203 
                        75     11    203 
                        75     11    203 
                        76     11    203 
                        76     11    203 
                        76     11    203 
                        77     10    203 
                        77     10    203 
                        77     10    203 
                        78     10    203 
                        78     10    203 
                        78     10    203 
                        79     10    203 
                        79     10    203 
                        79     10    203 
                        80      9    203 
                        80      9    204 
                        80      9    204 
                        80      9    204 
                        81      9    204 
                        81      9    204 
                        81      9    204 
                        82      9    204 
                        82      9    204 
                        82      8    204 
                        83      8    204 
                        83      8    204 
                        83      8    204 
                        84      8    204 
                        84      8    204 
                        84      8    204 
                        85      8    204 
                        85      8    204 
                        85      7    204 
                        86      7    204 
                        86      7    204 
                        86      7    204 
                        87      7    204 
                        87      7    205 
                        87      7    205 
                        87      7    205 
                        88      7    205 
                        88      6    205 
                        88      6    205 
                        89      6    205 
                        89      6    205 
                        89      6    205 
                        90      6    205 
                        90      6    205 
                        90      6    205 
                        91      6    205 
                        91      5    205 
                        91      5    205 
                        92      5    205 
                        92      5    205 
                        92      5    205 
                        93      5    205 
                        93      5    205 
                        93      5    205 
