!
!This table was created from the IDV's bfpplus-cip-colors-0-to-1 color table
!                       red    green  blue 
!
                       255    216    216 
                       255    215    215 
                       255    213    213 
                       255    212    212 
                       255    210    210 
                       255    209    209 
                       255    207    207 
                       255    206    206 
                       255    204    204 
                       255    202    203 
                       255    201    201 
                       255    199    199 
                       255    198    198 
                       255    196    196 
                       255    195    195 
                       255    193    193 
                       255    191    192 
                       255    190    190 
                       255    188    189 
                       255    187    187 
                       255    185    186 
                       255    184    184 
                       255    182    182 
                       255    180    181 
                       255    179    179 
                       255    177    178 
                       255    176    176 
                       255    174    175 
                       255    173    173 
                       255    171    172 
                       255    169    170 
                       255    168    168 
                       255    166    167 
                       255    165    165 
                       255    163    164 
                       255    162    162 
                       255    160    161 
                       255    159    159 
                       255    157    158 
                       255    155    156 
                       255    154    155 
                       255    152    153 
                       255    151    151 
                       255    149    150 
                       255    148    148 
                       255    146    147 
                       255    144    145 
                       255    143    144 
                       255    141    142 
                       255    140    141 
                       255    138    139 
                       255    137    137 
                       255    135    136 
                       255    133    134 
                       255    132    133 
                       255    130    131 
                       255    129    130 
                       255    127    128 
                       255    126    127 
                       255    124    125 
                       255    124    125 
                       255    123    124 
                       255    123    124 
                       255    122    123 
                       255    121    122 
                       255    121    122 
                       255    120    121 
                       255    119    120 
                       255    119    120 
                       255    118    119 
                       255    117    118 
                       255    117    118 
                       255    116    117 
                       255    115    116 
                       255    115    116 
                       255    114    115 
                       255    113    114 
                       255    113    114 
                       255    112    113 
                       255    112    112 
                       255    111    112 
                       255    110    111 
                       255    110    110 
                       255    109    110 
                       255    108    109 
                       255    108    108 
                       255    107    108 
                       255    106    107 
                       255    106    107 
                       255    105    106 
                       255    104    105 
                       255    104    105 
                       255    103    104 
                       255    102    103 
                       255    102    103 
                       255    101    102 
                       255    101    101 
                       255    100    101 
                       255     99    100 
                       255     99     99 
                       255     98     99 
                       255     97     98 
                       255     97     97 
                       255     96     97 
                       255     95     96 
                       255     95     95 
                       255     94     95 
                       255     93     94 
                       255     93     93 
                       255     92     93 
                       255     91     92 
                       255     91     91 
                       255     90     91 
                       255     90     90 
                       255     89     90 
                       255     88     89 
                       255     88     88 
                       255     87     88 
                       255     86     87 
                       255     86     86 
                       255     85     86 
                       255     84     85 
                       255     84     84 
                       255     83     84 
                       255     82     83 
                       255     82     82 
                       255     81     82 
                       255     80     81 
                       255     80     80 
                       255     79     80 
                       255     79     79 
                       255     78     78 
                       255     77     78 
                       255     77     77 
                       255     76     76 
                       255     75     76 
                       255     75     75 
                       255     74     74 
                       255     73     74 
                       255     73     73 
                       255     72     73 
                       255     71     72 
                       255     71     71 
                       255     70     71 
                       255     69     70 
                       255     69     69 
                       255     68     69 
                       255     67     68 
                       255     67     67 
                       255     66     67 
                       255     66     66 
                       255     65     65 
                       255     64     65 
                       255     64     64 
                       255     63     63 
                       255     62     63 
                       255     62     62 
                       255     61     61 
                       255     60     61 
                       255     60     60 
                       255     59     59 
                       255     58     59 
                       255     58     58 
                       255     57     57 
                       255     56     57 
                       255     56     56 
                       255     55     56 
                       255     55     55 
                       255     54     54 
                       255     53     54 
                       255     53     53 
                       255     52     52 
                       255     51     52 
                       255     51     51 
                       255     50     50 
                       255     49     50 
                       255     49     49 
                       255     48     48 
                       255     47     48 
                       255     47     47 
                       255     46     46 
                       255     45     46 
                       255     45     45 
                       255     44     44 
                       255     44     44 
                       255     43     43 
                       255     42     42 
                       255     42     42 
                       255     41     41 
                       255     40     40 
                       255     40     40 
                       255     39     39 
                       255     38     39 
                       255     38     38 
                       255     37     37 
                       255     36     37 
                       255     36     36 
                       255     35     35 
                       255     34     35 
                       255     34     34 
                       255     33     33 
                       255     33     33 
                       255     32     32 
                       255     31     31 
                       255     31     31 
                       255     30     30 
                       255     29     29 
                       255     29     29 
                       255     28     28 
                       255     27     27 
                       255     27     27 
                       255     26     26 
                       255     25     25 
                       255     25     25 
                       255     24     24 
                       255     23     23 
                       255     23     23 
                       255     22     22 
                       255     20     20 
                       255     19     19 
                       255     17     18 
                       255     16     16 
                       255     15     15 
                       255     14     14 
                       255     13     13 
                       255     12     12 
                       255     11     11 
                       255     10     10 
                       255      8      8 
                       255      7      7 
                       255      6      6 
                       255      5      5 
                       255      4      4 
                       255      3      3 
                       255      2      2 
                       255      0      0 
                       255      0      1 
                       255      1      1 
                       255      1      2 
                       255      1      3 
                       255      2      3 
                       255      2      4 
                       255      3      5 
                       255      3      5 
                       255      3      6 
                       255      3      6 
                       255      3      7 
                       255      4      8 
                       255      4      9 
                       255      4     10 
                       255      5     11 
                       255      5     11 
                       255      6     12 
                       255      6     13 
                       255      6     14 
                       255      7     15 
                       255      7     16 
                       255      7     17 
                       255      8     17 
                       255      8     18 
                       255      9     19 
                       255      9     20 
                       255      9     21 
                       255     10     22 
                       255     10     22 
                       255     10     23 
                       255     11     24 
                       255     11     25 
                       255     12     26 
                       255     12     27 
                       255     12     28 
                       255     13     28 
                       255     13     29 
                       255     13     30 
                       255     14     31 
                       255     14     32 
                       255     15     33 
                       255     15     33 
                       255     15     34 
                       255     16     35 
                       255     16     36 
                       255     16     37 
                       255     17     38 
                       255     17     39 
                       255     18     39 
                       255     18     40 
                       255     18     41 
                       255     19     42 
                       255     19     43 
                       255     19     44 
                       255     20     44 
                       255     20     45 
                       254     21     46 
                       254     21     47 
                       254     21     48 
                       254     22     49 
                       254     22     50 
                       254     22     50 
                       254     23     51 
                       254     23     52 
                       254     24     53 
                       254     24     54 
                       254     24     55 
                       254     25     56 
                       254     25     56 
                       254     26     57 
                       254     26     58 
                       254     26     59 
                       254     27     60 
                       254     27     61 
                       254     27     61 
                       254     28     62 
                       254     28     63 
                       254     29     64 
                       254     29     65 
                       254     29     66 
                       254     30     67 
                       254     30     67 
                       254     30     68 
                       254     31     69 
                       254     31     70 
                       254     32     71 
                       254     32     72 
                       254     32     72 
                       254     33     73 
                       254     33     74 
                       254     33     75 
                       254     34     76 
                       254     34     77 
                       254     35     78 
                       254     35     78 
                       254     35     79 
                       254     36     80 
                       254     36     81 
                       254     36     82 
                       254     37     83 
                       254     37     83 
                       254     38     84 
                       254     38     85 
                       253     38     86 
                       253     39     87 
                       253     39     88 
                       253     39     89 
                       253     40     89 
                       253     40     90 
                       253     41     91 
                       253     41     92 
                       253     41     93 
                       253     42     94 
                       253     42     94 
                       253     42     95 
                       253     43     96 
                       253     43     97 
                       253     44     98 
                       253     44     99 
                       253     44    100 
                       253     45    100 
                       253     45    101 
                       253     45    102 
                       253     46    103 
                       253     46    104 
                       253     47    105 
                       253     47    106 
                       253     47    106 
                       253     48    107 
                       253     48    108 
                       253     49    109 
                       253     49    110 
                       253     49    111 
                       253     50    111 
                       253     50    112 
                       253     50    113 
                       253     51    114 
                       253     51    115 
                       253     52    116 
                       253     52    117 
                       253     52    117 
                       253     53    118 
                       253     53    119 
                       253     53    120 
                       253     54    121 
                       253     54    122 
                       253     55    122 
                       253     55    123 
                       253     55    124 
                       253     56    125 
                       252     56    126 
                       252     56    127 
                       252     57    128 
                       252     57    128 
                       252     58    129 
                       252     58    130 
                       252     58    131 
                       252     59    132 
                       252     59    133 
                       252     59    133 
                       252     60    134 
                       252     60    135 
                       252     61    136 
                       252     61    137 
                       252     61    138 
                       252     62    139 
                       252     62    139 
                       252     62    140 
                       252     63    141 
                       252     63    142 
                       252     64    143 
                       252     64    144 
                       252     64    144 
                       252     65    145 
                       252     65    146 
                       252     65    147 
                       252     66    148 
                       252     66    149 
                       252     67    150 
                       252     67    150 
                       252     67    151 
                       252     68    152 
                       252     68    153 
                       252     68    154 
                       252     69    155 
                       252     69    156 
                       252     70    156 
                       252     70    157 
                       252     70    158 
                       252     71    159 
                       252     71    160 
                       252     72    161 
                       252     72    161 
                       252     72    162 
                       252     73    163 
                       252     73    164 
                       252     73    165 
                       251     74    166 
                       251     74    167 
                       251     75    167 
                       251     75    168 
                       251     75    169 
                       251     76    170 
                       251     76    171 
                       251     76    172 
                       251     77    172 
                       251     77    173 
                       251     78    174 
                       251     78    175 
                       251     78    176 
                       251     79    177 
                       251     79    178 
                       251     79    178 
                       251     80    179 
                       251     80    180 
                       251     81    181 
                       251     81    182 
                       251     81    183 
                       251     82    183 
                       251     82    184 
                       251     82    185 
                       251     83    186 
                       251     83    187 
                       251     84    188 
                       251     84    189 
                       251     84    189 
                       251     85    190 
                       251     85    191 
                       251     85    192 
                       251     86    193 
                       251     86    194 
                       251     87    194 
                       251     87    195 
                       251     87    196 
                       251     88    197 
                       251     88    198 
                       251     88    199 
                       251     89    200 
                       251     89    200 
                       251     90    201 
                       251     90    202 
                       251     90    203 
                       251     91    204 
                       251     91    205 
