!
!This table was created from the IDV's bfpplus-nfp-colors-0-to-1 color table
!                       red    green  blue 
!
                       255    249    206 
                       255    249    205 
                       255    249    203 
                       255    249    201 
                       255    248    199 
                       255    248    198 
                       254    248    196 
                       254    247    194 
                       254    247    192 
                       254    247    191 
                       254    246    189 
                       254    246    187 
                       253    246    185 
                       253    245    184 
                       253    245    182 
                       253    245    180 
                       253    244    178 
                       253    244    176 
                       252    244    175 
                       252    243    173 
                       252    243    171 
                       252    243    169 
                       252    242    168 
                       252    242    166 
                       251    242    164 
                       251    241    162 
                       251    241    161 
                       251    241    159 
                       251    240    157 
                       251    240    155 
                       250    240    153 
                       250    239    152 
                       250    239    150 
                       250    239    148 
                       250    239    146 
                       250    238    145 
                       249    238    143 
                       249    238    141 
                       249    237    139 
                       249    237    138 
                       249    237    136 
                       249    236    134 
                       248    236    132 
                       248    236    130 
                       248    235    129 
                       248    235    127 
                       248    235    125 
                       248    234    123 
                       247    234    122 
                       247    234    120 
                       247    233    118 
                       247    233    116 
                       247    233    115 
                       247    232    113 
                       246    232    111 
                       246    232    109 
                       246    231    107 
                       246    231    106 
                       246    231    104 
                       246    230    102 
                       245    230    100 
                       245    230     99 
                       245    229     97 
                       245    229     95 
                       245    229     93 
                       245    229     93 
                       245    229     93 
                       245    229     93 
                       245    229     92 
                       245    228     92 
                       245    228     92 
                       245    228     92 
                       245    228     91 
                       245    227     91 
                       245    227     91 
                       245    227     91 
                       245    227     90 
                       245    226     90 
                       245    226     90 
                       245    226     90 
                       245    226     89 
                       245    226     89 
                       245    225     89 
                       245    225     89 
                       245    225     88 
                       245    225     88 
                       245    224     88 
                       244    224     88 
                       244    224     87 
                       244    224     87 
                       244    223     87 
                       244    223     87 
                       244    223     86 
                       244    223     86 
                       244    222     86 
                       244    222     86 
                       244    222     85 
                       244    222     85 
                       244    222     85 
                       244    221     85 
                       244    221     84 
                       244    221     84 
                       244    221     84 
                       244    220     84 
                       244    220     83 
                       244    220     83 
                       244    220     83 
                       244    219     83 
                       244    219     82 
                       244    219     82 
                       243    219     82 
                       243    218     82 
                       243    218     81 
                       243    218     81 
                       243    218     81 
                       243    218     81 
                       243    217     80 
                       243    217     80 
                       243    217     80 
                       243    217     80 
                       243    216     79 
                       243    216     79 
                       243    216     79 
                       243    216     79 
                       243    215     78 
                       243    215     78 
                       243    215     78 
                       243    215     78 
                       243    214     77 
                       243    214     77 
                       243    214     77 
                       243    214     77 
                       243    214     76 
                       242    213     76 
                       242    213     76 
                       242    213     76 
                       242    213     75 
                       242    212     75 
                       242    212     75 
                       242    212     75 
                       242    212     74 
                       242    211     74 
                       242    211     74 
                       242    211     74 
                       242    211     73 
                       242    210     73 
                       242    210     73 
                       242    210     73 
                       242    210     72 
                       242    210     72 
                       242    209     72 
                       242    209     72 
                       242    209     71 
                       242    209     71 
                       242    208     71 
                       242    208     71 
                       241    208     70 
                       241    208     70 
                       241    207     70 
                       241    207     70 
                       241    207     69 
                       241    207     69 
                       241    206     69 
                       241    206     69 
                       241    206     68 
                       241    206     68 
                       241    206     68 
                       241    205     68 
                       241    205     67 
                       241    205     67 
                       241    205     67 
                       241    204     67 
                       241    204     66 
                       241    204     66 
                       241    204     66 
                       241    203     66 
                       241    203     65 
                       241    203     65 
                       241    203     65 
                       240    201     64 
                       240    201     64 
                       239    201     64 
                       239    200     63 
                       239    200     63 
                       239    200     63 
                       239    199     63 
                       239    199     63 
                       239    199     63 
                       239    198     63 
                       239    198     62 
                       239    198     62 
                       239    197     62 
                       239    197     62 
                       239    197     62 
                       239    196     62 
                       239    196     62 
                       239    196     61 
                       239    195     61 
                       239    195     61 
                       239    195     61 
                       239    194     61 
                       239    194     61 
                       239    194     61 
                       239    193     60 
                       239    193     60 
                       239    193     60 
                       238    192     60 
                       238    192     60 
                       238    192     60 
                       238    191     60 
                       238    191     59 
                       238    191     59 
                       238    190     59 
                       238    190     59 
                       238    190     59 
                       238    189     59 
                       238    189     59 
                       238    189     58 
                       238    188     58 
                       238    188     58 
                       238    188     58 
                       238    187     58 
                       238    187     58 
                       238    187     58 
                       238    186     57 
                       238    186     57 
                       238    186     57 
                       238    185     57 
                       238    185     57 
                       238    185     57 
                       237    184     56 
                       237    184     56 
                       237    184     56 
                       237    184     55 
                       237    183     55 
                       237    183     55 
                       237    183     55 
                       237    183     55 
                       237    183     55 
                       237    183     55 
                       236    182     55 
                       236    182     55 
                       236    182     55 
                       236    182     55 
                       236    182     55 
                       236    182     55 
                       236    181     55 
                       236    181     54 
                       236    181     54 
                       236    181     54 
                       236    181     54 
                       236    180     54 
                       236    180     54 
                       236    180     54 
                       236    180     54 
                       236    180     54 
                       236    180     54 
                       236    179     54 
                       236    179     54 
                       236    179     54 
                       236    179     54 
                       236    179     53 
                       236    179     53 
                       236    178     53 
                       236    178     53 
                       236    178     53 
                       236    178     53 
                       236    178     53 
                       236    178     53 
